Product Name,Product Capacity,Price
"COCA-COLA
    Boisson gazeuse aux extraits végétaux goût original","1,75l",1.98
"COCA-COLA
    Boisson gazeuse aux extraits végétaux goût original","1,25l",1.69
"COCA-COLA
    Boisson gazeuse aux extraits végétaux goût original boîte",6x33cl,3.72
"COCA-COLA
    Boisson gazeuse aux extraits végétaux goût original","6x1,75l",11.88
"COCA-COLA
    Boisson gazeuse aux extraits végétaux goût original",1l,1.59
"COCA-COLA
    Boisson gazeuse aux extraits végétaux boîtes slim",20x33cl,12.52
"AUCHAN
    Boisson gazeuse Planet cola classic","1,5l",0.96
"PEPSI
    Boisson gazeuse aux extraits végétaux regular","1,5l",1.45
"COCA-COLA
    Boisson gazeuse aux extraits végétaux goût original","6x1,25l",10.24
"COCA-COLA
    Boisson gazeuse aux extraits végétaux original frigopack",8x15cl,4.11
"DR PEPPER
    Boisson gazeuse aromatisée",33cl,1.08
"COCA-COLA
    Boisson gazeuse aux extraits végétaux original bouteilles",6x50cl,6.83
"COCA-COLA
    Boisson gazeuse aux extraits végétaux goût original bouteille",50cl,1.57
"COCA-COLA
    Boisson gazeuse aux extraits végétaux bouteille verre",75cl,3.08
"COCA-COLA
    Boisson gazeuse aux extraits végétaux sans sucre boîte",6x33cl,3.48
"PEPSI MAX
    Boisson gazeuse aux extraits végétaux zéro sucre","4x1,5l",5.4
"COCA-COLA
    Boisson gazeuse aux extraits végétaux zéro boîtes slim",20x33cl,11.6
"COCA-COLA
    Boisson gazeuse aux extraits végétaux zéro","6x1,25l",8.88
"COCA-COLA
    Boisson gazeuse aux extraits végétaux zéro sans caféine","1,25l",1.55
"AUCHAN
    Boisson gazeuse Planet cola zéro sucre","1,5l",0.61
"COCA-COLA
    Boisson gazeuse aux extraits végétaux zéro","1,25l",1.49
"PEPSI MAX
    Boisson gazeuse aux extraits végétaux zéro sucre","1,5l",1.35
"PEPSI MAX
    Boisson gazeuse aux extraits végétaux zéro sucre boîtes",6x33cl,2.94
"COCA-COLA
    Boisson gazeuse aux extraits végétaux zéro",1l,1.27
"COCA-COLA
    Boisson gazeuse aux extraits végétaux sans sucres",15x33cl dont 10% offert,7.69
"COCA-COLA
    Boisson gazeuse Original aux extraits végétaux boîtes",15x33cl dont 10% offert,7.69
"COCA-COLA
    Boisson gazeuse aux extraits végétaux zéro frigopack",8x15cl,3.62
"COCA-COLA
    Boisson gazeuse aux extraits végétaux light boîtes",6x33cl,3.65
"PEPSI MAX
    Boisson gazeuse aux extraits végétaux zéro sucre","6x1,5l",5.95
"COCA-COLA
    Boisson gazeuse aux extraits végétaux zéro bouteille",50cl,1.12

